,Insured,Not_Insured,County,Year,Percent_Insured,Percent_Uninsured,FIPS
0,52679,8602,Anderson,2010,85.96,14.04,47001
1,30357,8542,Bedford,2010,78.04,21.96,47003
2,10768,2333,Benton,2010,82.19,17.81,47005
3,7957,1846,Bledsoe,2010,81.17,18.83,47007
4,86269,15189,Blount,2010,85.03,14.97,47009
5,68534,13911,Bradley,2010,83.13,16.87,47011
6,27800,5493,Campbell,2010,83.5,16.5,47013
7,9434,2038,Cannon,2010,82.24,17.76,47015
8,18977,3656,Carroll,2010,83.85,16.15,47017
9,38093,8272,Carter,2010,82.16,17.84,47019
10,28995,5523,Cheatham,2010,84,16,47021
11,11261,2187,Chester,2010,83.74,16.26,47023
12,21844,4122,Claiborne,2010,84.13,15.87,47025
13,5069,1167,Clay,2010,81.29,18.71,47027
14,24125,5285,Cocke,2010,82.03,17.97,47029
15,36547,7384,Coffee,2010,83.19,16.81,47031
16,9720,2371,Crockett,2010,80.39,19.61,47033
17,33284,7963,Cumberland,2010,80.69,19.31,47035
18,431740,106801,Davidson,2010,80.17,19.83,47037
19,7568,1660,Decatur,2010,82.01,17.99,47039
20,12321,3234,DeKalb,2010,79.21,20.79,47041
21,36010,6621,Dickson,2010,84.47,15.53,47043
22,27595,4811,Dyer,2010,85.15,14.85,47045
23,27500,4736,Fayette,2010,85.31,14.69,47047
24,12107,2679,Fentress,2010,81.88,18.12,47049
25,27224,4990,Franklin,2010,84.51,15.49,47051
26,34587,6441,Gibson,2010,84.3,15.7,47053
27,20000,3960,Giles,2010,83.47,16.53,47055
28,15475,3502,Grainger,2010,81.55,18.45,47057
29,45837,9689,Greene,2010,82.55,17.45,47059
30,9276,1904,Grundy,2010,82.97,17.03,47061
31,41913,10214,Hamblen,2010,80.41,19.59,47063
32,233634,45813,Hamilton,2010,83.61,16.39,47065
33,4571,971,Hancock,2010,82.48,17.52,47067
34,16552,3200,Hardeman,2010,83.8,16.2,47069
35,17323,3763,Hardin,2010,82.15,17.85,47071
36,39812,7247,Hawkins,2010,84.6,15.4,47073
37,13179,2818,Haywood,2010,82.38,17.62,47075
38,19700,3730,Henderson,2010,84.08,15.92,47077
39,21324,4332,Henry,2010,83.12,16.88,47079
40,16392,3405,Hickman,2010,82.8,17.2,47081
41,5653,1217,Houston,2010,82.29,17.71,47083
42,12678,2445,Humphreys,2010,83.83,16.17,47085
43,7759,1720,Jackson,2010,81.85,18.15,47087
44,34374,7237,Jefferson,2010,82.61,17.39,47089
45,11024,2252,Johnson,2010,83.04,16.96,47091
46,311607,53027,Knox,2010,85.46,14.54,47093
47,3731,681,Lake,2010,84.56,15.44,47095
48,18064,3519,Lauderdale,2010,83.7,16.3,47097
49,28750,6176,Lawrence,2010,82.32,17.68,47099
50,8206,1888,Lewis,2010,81.3,18.7,47101
51,23403,4167,Lincoln,2010,84.89,15.11,47103
52,31499,6372,Loudon,2010,83.17,16.83,47105
53,35719,6979,McMinn,2010,83.65,16.35,47107
54,17792,3604,McNairy,2010,83.16,16.84,47109
55,15059,3883,Macon,2010,79.5,20.5,47111
56,68658,12945,Madison,2010,84.14,15.86,47113
57,19625,3963,Marion,2010,83.2,16.8,47115
58,21538,4836,Marshall,2010,81.66,18.34,47117
59,58747,11035,Maury,2010,84.19,15.81,47119
60,8132,1607,Meigs,2010,83.5,16.5,47121
61,30222,6657,Monroe,2010,81.95,18.05,47123
62,134417,21403,Montgomery,2010,86.26,13.74,47125
63,4348,785,Moore,2010,84.71,15.29,47127
64,13820,2697,Morgan,2010,83.67,16.33,47129
65,21857,4264,Obion,2010,83.68,16.32,47131
66,15061,3072,Overton,2010,83.06,16.94,47133
67,5096,1278,Perry,2010,79.95,20.05,47135
68,3074,835,Pickett,2010,78.64,21.36,47137
69,11365,2398,Polk,2010,82.58,17.42,47139
70,48270,11109,Putnam,2010,81.29,18.71,47141
71,21543,4460,Rhea,2010,82.85,17.15,47143
72,37460,6117,Roane,2010,85.96,14.04,47145
73,48171,9792,Robertson,2010,83.11,16.89,47147
74,200034,36554,Rutherford,2010,84.55,15.45,47149
75,15623,3325,Scott,2010,82.45,17.55,47151
76,9711,2026,Sequatchie,2010,82.74,17.26,47153
77,59071,16161,Sevier,2010,78.52,21.48,47155
78,670665,143767,Shelby,2010,82.35,17.65,47157
79,13633,2762,Smith,2010,83.15,16.85,47159
80,9185,1838,Stewart,2010,83.33,16.67,47161
81,106404,19222,Sullivan,2010,84.7,15.3,47163
82,117854,21472,Sumner,2010,84.59,15.41,47165
83,45668,7541,Tipton,2010,85.83,14.17,47167
84,5548,1180,Trousdale,2010,82.46,17.54,47169
85,12174,2352,Unicoi,2010,83.81,16.19,47171
